ns_id, parent_id, ns_name, ns_unit, usda_id, usda_name, usda_mu, priority, normalize_formula

// ============================================================
// SEMANTIC ID MAP
// main: 1xxx
// prot (amino acids): 2xxx
// fat: 3xxx
// carb: 4xxx
// vit: 5xxx (5100 = water-soluble, 5200 = fat-soluble)
// mineral: 6xxx (6100 = macro, 6200 = trace, 6300 = heavy metals)
// fractions: 7xxx
// other: 8xxx
// organic acids: 9xxx
// polyphenols & flavonoids: 10xxx
// ============================================================


# 1xxx — MAIN MACRONUTRIENTS
"1001", null, "Energy", "kcal", "1008", "Energy", "KCAL", 1, null
"1001", null, "Energy", "kcal", "1062", "Energy", "kJ", 2, "value * 0.239"
"1001", null, "Energy", "kcal", "2047", "Energy (Atwater General Factors)", "KCAL", 3, null
"1001", null, "Energy", "kcal", "2048", "Energy (Atwater Specific Factors)", "KCAL", 4, null
"1002", null, "Protein", "g", "1003", "Protein", "G", 1, null
"1002", null, "Protein", "g", "1053", "Adjusted Protein", "G", 2, null
"1003", null, "Fats", "g", "1004", "Total lipid (fat)", "G", 1, null
"1003", null, "Fats", "g", "1085", "Total fat (NLEA)", "G", 2, null
"1004", null, "Carbohydrates", "g", "2039", "Carbohydrates", "G", 1, null
"1004", null, "Carbohydrates", "g", "1050", "Carbohydrate, by summation", "G", 2, null
"1004", null, "Carbohydrates", "g", "1005", "Carbohydrate, by difference", "G", 3, null

# 2xxx — AMINO ACIDS (parent: 1002 Protein)
"2001", "1002", "Aspartic acid", "g", "1223", "Aspartic acid", "G", 1, null
"2002", "1002", "Glutamic acid", "g", "1224", "Glutamic acid", "G", 1, null
"2003", "1002", "Tryptophan", "g", "1210", "Tryptophan", "G", 1, null
"2004", "1002", "Leucine", "g", "1213", "Leucine", "G", 1, null
"2005", "1002", "Isoleucine", "g", "1212", "Isoleucine", "G", 1, null
"2006", "1002", "Lysine", "g", "1214", "Lysine", "G", 1, null
"2007", "1002", "Methionine", "g", "1215", "Methionine", "G", 1, null
"2008", "1002", "Cystine", "g", "1216", "Cystine", "G", 1, null
"2009", "1002", "Phenylalanine", "g", "1217", "Phenylalanine", "G", 1, null
"2010", "1002", "Tyrosine", "g", "1218", "Tyrosine", "G", 1, null
"2011", "1002", "Valine", "g", "1219", "Valine", "G", 1, null
"2012", "1002", "Arginine", "g", "1220", "Arginine", "G", 1, null
"2013", "1002", "Alanine", "g", "1222", "Alanine", "G", 1, null
"2014", "1002", "Histidine", "g", "1221", "Histidine", "G", 1, null
"2015", "1002", "Glycine", "g", "1225", "Glycine", "G", 1, null
"2016", "1002", "Asparagine", "g", "1231", "Asparagine", "G", 1, null
"2017", "1002", "Glutamine", "g", "1233", "Glutamine", "G", 1, null
"2018", "1002", "Proline", "g", "1226", "Proline", "G", 1, null
"2019", "1002", "Serine", "g", "1227", "Serine", "G", 1, null
"2020", "1002", "Cysteine", "g", "1232", "Cysteine", "G", 1, null
"2022", "1002", "Hydroxyproline", "g", "1228", "Hydroxyproline", "G", 1, null
"2023", "1002", "Threonine", "g", "1211", "Threonine", "G", 1, null


# 3xxx — FATS (parent: 1003 Fats)
